,age,education,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13
939,-0.5802870423070638,11,0,0,0,6,2,-0.6121048022308087,-0.35260577267193954,0,0.8400966322524432,1.5182936545958359,-0.298375404361161,0.7701806184065114,0.8377608424358117,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
729,1.164056371563151,11,0,0,1,7,3,-0.6121048022308087,-0.35260577267193954,0,0.8400966322524432,0.574290945904133,-0.49514774084101476,0.7707573057619526,0.8377608424358117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1524,1.0671484041259167,14,1,0,1,7,3,-0.6121048022308087,-0.35260577267193954,0,0.8400966322524432,0.574290945904133,-0.49514774084101476,0.7707573057619526,0.8377608424358117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2650,0.0011607623163410262,11,0,0,0,6,5,-0.204342944544596,-0.35260577267193954,0,0.8400966322524432,1.5182936545958359,-0.298375404361161,0.7690272436956281,0.8377608424358117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3577,-0.8710109446187664,14,0,0,1,8,3,-0.6121048022308087,-0.35260577267193954,0,0.8400966322524432,-0.24372968283416332,0.9478493933445709,0.7719106804728353,0.8377608424358117,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,0.0011607623163410262,11,1,0,1,7,1,1.0189426285140422,-0.35260577267193954,0,0.8400966322524432,0.574290945904133,-0.49514774084101476,0.7696039310510697,0.8377608424358117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3705,1.3578723064376192,13,0,0,1,7,5,-0.6121048022308087,-0.35260577267193954,0,0.8400966322524432,0.574290945904133,-0.49514774084101476,0.7707573057619526,0.8377608424358117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
339,0.29188466462804347,13,1,0,1,5,1,-0.6121048022308087,-0.35260577267193954,0,-1.2101680865310915,-1.1946355191945524,-1.2603734938182192,-1.3618325346605733,-0.9125485168151172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1502,-0.19265517255812728,14,1,0,1,8,4,0.2034189131416167,-0.35260577267193954,0,0.8400966322524432,-0.24372968283416332,0.9478493933445709,0.7742174298946014,0.8377608424358117,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013,0.09806872975357518,13,0,0,0,5,2,-0.204342944544596,-0.35260577267193954,0,0.6478843148664869,0.7054503716090236,0.882258614517954,0.7102051334405993,0.3343772980310823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3771,-0.7741029771815322,14,1,0,1,5,1,0.2034189131416167,1.4507042137247843,1,-1.2101680865310915,-1.1946355191945524,-1.2603734938182192,-1.341648477220122,-0.9125485168151172,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1114,-1.0648268794932347,9,0,0,1,5,3,-0.6121048022308087,-0.35260577267193954,0,-1.2101680865310915,-1.1946355191945524,-1.2603734938182192,-1.3520288496180684,-0.9125485168151172,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2892,-0.28956313999536143,9,0,0,1,5,2,-0.6121048022308087,-0.35260577267193954,0,-1.2101680865310915,-1.1946355191945524,-1.2603734938182192,-1.3156975462252565,-0.9125485168151172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
614,-0.28956313999536143,11,1,0,0,5,1,0.6111807708278294,-0.35260577267193954,0,0.6478843148664869,0.7054503716090236,0.882258614517954,0.7102051334405993,0.3343772980310823,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
